"","brand","year","mileage","engine_size","automatic_transmission","fuel","drivetrain","min_mpg","max_mpg","damaged","first_owner","navigation_system","bluetooth","third_row_seating","heated_seats","price"
"11924","MINI",2012,87974,1.6,1,"Petrol","Front-wheel Drive",21,30,1,0,0,0,0,0,9995
"11981","Cadillac",2016,65313,3,1,"Petrol","Four-wheel Drive",18,25,1,0,1,1,0,1,29668
"12040","Cadillac",2019,38187,3.6,1,"Petrol","Four-wheel Drive",14,19,0,1,0,1,0,1,31997
"12100","MINI",2020,64522,1.5,1,"Petrol","Front-wheel Drive",25,30,1,1,0,1,0,0,20980
"12164","Chevrolet",2016,95526,2,1,"Petrol","Front-wheel Drive",22,33,0,0,1,1,0,1,14555
"12220","Lexus",2021,19367,2,1,"Petrol","Four-wheel Drive",19,26,0,1,1,1,0,0,33900
"12279","Hyundai",2022,13756,1.6,1,"Hybrid","Four-wheel Drive",NA,NA,0,1,0,0,0,0,40999
"12336","Volkswagen",2018,80048,3.6,1,"Petrol","Four-wheel Drive",22,27,1,0,1,1,1,1,29608
"12393","Lexus",2013,133563,3.5,1,"Petrol","Front-wheel Drive",17,25,1,1,1,1,0,1,14995
"12452","Jeep",2017,86201,2.4,1,"Petrol","Four-wheel Drive",NA,NA,0,0,1,1,0,0,17990
"12513","FIAT",2017,56043,1.4,1,"Petrol","Rear-wheel Drive",26,35,0,0,1,1,0,1,19391
"12576","Kia",2016,91757,2.4,1,"Petrol","Four-wheel Drive",18,25,0,0,0,1,0,0,13361
"12633","Ford",2016,63086,2.3,0,"Petrol","Four-wheel Drive",19,25,1,0,0,1,0,0,29499
"12690","Jaguar",2020,9686,2,1,"Petrol","Four-wheel Drive",20,28,0,1,0,1,0,0,35000
"12744","Honda",2017,78573,2,1,"Petrol","Front-wheel Drive",31,40,1,0,0,1,0,0,18176
"12809","MINI",2018,43911,2,1,"Petrol","Four-wheel Drive",28,36,0,0,0,1,0,0,26998
"12867","Hyundai",2014,85643,2,1,"Petrol","Four-wheel Drive",36,37,0,0,0,1,0,0,11849
"12925","Hyundai",2018,59258,2,1,"Petrol","Front-wheel Drive",17,27,1,1,0,1,0,1,16497
"12979","Jaguar",2015,65832,3,1,"Petrol","Four-wheel Drive",19,30,1,0,1,1,0,1,26995
"13034","Jeep",2019,33965,3.2,1,"Petrol","Four-wheel Drive",NA,NA,0,1,1,1,0,0,23913
"13090","Audi",2016,50374,2,1,"Petrol","Four-wheel Drive",20,28,1,0,0,1,0,1,21787
"13152","Jaguar",2021,8565,2,1,"Petrol","Four-wheel Drive",22,27,0,0,1,1,0,1,38997
"13211","Jaguar",2019,23284,NA,1,"Petrol","Four-wheel Drive",18,23,1,1,1,1,0,1,49888
"13267","Lexus",2019,21875,3.5,1,"Petrol","Four-wheel Drive",15,19,0,1,0,1,0,1,38500
"13324","FIAT",2019,79067,1.3,1,"Petrol","Four-wheel Drive",24,30,1,0,1,1,0,1,19450
"13384","MINI",2019,40668,2,1,"Petrol","Front-wheel Drive",27,34,1,0,0,1,0,0,27000
"13440","Jeep",2019,52910,3.6,1,"Petrol","Four-wheel Drive",17,23,0,0,1,1,0,1,35455
"13499","Hyundai",2015,102404,1.6,1,"Petrol","Front-wheel Drive",NA,NA,1,0,0,1,0,0,11988
"13559","Mercedes-Benz",2020,25964,3,1,"Petrol","Four-wheel Drive",19,26,0,1,1,1,0,0,47968
"13615","Volvo",2007,73076,2.5,1,"Petrol","Four-wheel Drive",20,25,1,1,0,0,0,0,16950
"13676","Lexus",2017,34368,4.6,1,"Petrol","Four-wheel Drive",28,31,0,0,1,1,1,0,39998
"13734","Volvo",2017,78218,2,1,"Petrol","Four-wheel Drive",22,29,0,1,1,1,0,0,24359
"13794","Ford",2018,56427,2.3,0,"Petrol","Rear-wheel Drive",21,31,0,0,0,1,0,0,23000
"13856","Volkswagen",2017,59516,2,1,"Petrol","Front-wheel Drive",22,29,1,0,1,1,0,1,20050
"13915","Volvo",2022,15065,2,1,"Petrol","Four-wheel Drive",22,30,0,1,1,1,1,1,52995
"13972","Toyota",2015,84119,2.7,1,"Petrol","Rear-wheel Drive",19,24,0,0,0,1,0,0,23998
"14031","Mitsubishi",2022,11123,2.5,1,"Petrol","Four-wheel Drive",24,30,0,1,1,1,1,1,29888
"14089","FIAT",2015,49499,NA,1,"Electric","Front-wheel Drive",NA,NA,0,0,1,1,0,1,9744
"14146","Volvo",2022,6162,2,1,"Petrol","Front-wheel Drive",NA,NA,0,1,1,1,1,0,46220
"14203","Volvo",2017,70438,2,1,"Hybrid","Four-wheel Drive",21,28,0,1,1,1,1,0,35999
"14261","FIAT",2018,29033,1.4,1,"Petrol","Rear-wheel Drive",26,35,0,0,0,1,0,0,26995
"14321","MINI",2022,8226,2,1,"Petrol","Four-wheel Drive",29,37,0,1,1,1,0,1,34989
"14382","Volkswagen",2020,11662,2,1,"Petrol","Four-wheel Drive",35,42,0,1,0,1,0,1,29488
"14439","Suzuki",2010,138810,2.4,1,"Petrol","Four-wheel Drive",23,31,0,0,1,0,0,0,5998
"14495","BMW",2022,10774,2,1,"Petrol","Four-wheel Drive",23,32,0,0,1,1,0,0,44410
"14550","Mazda",2018,52196,2.5,1,"Petrol","Front-wheel Drive",21,27,0,0,0,1,0,1,19416
"14608","Toyota",2021,4634,2.5,1,"Hybrid","Four-wheel Drive",38,41,0,1,0,1,0,0,35988
"14667","Jaguar",2019,42280,NA,1,"Petrol","Four-wheel Drive",21,28,0,0,1,1,0,1,35950
"14729","Porsche",2007,38039,3.8,1,"Petrol","Rear-wheel Drive",18,25,0,0,1,0,0,0,51295
"14791","Volkswagen",2019,24573,1.8,1,"Petrol","Four-wheel Drive",25,38,0,1,0,1,0,1,26998
"14850","MINI",2020,41735,1.5,1,"Petrol","Front-wheel Drive",28,37,0,0,0,1,0,1,21923
"14907","Nissan",2017,80274,5.6,1,"Petrol","Rear-wheel Drive",21,30,0,0,1,1,0,0,29875
"14966","Volkswagen",2014,174773,2,1,"Diesel","Front-wheel Drive",17,23,NA,NA,1,1,0,1,7900
"15030","Jeep",2011,146623,3.6,1,"GPL","Four-wheel Drive",15,20,1,0,0,0,0,0,8000
"15088","Lexus",2018,73000,3.5,1,"Petrol","Rear-wheel Drive",NA,NA,0,0,1,1,0,1,29995
"15149","Ford",2021,38194,3.5,1,"Petrol","Four-wheel Drive",16,21,0,1,1,1,1,1,50999
"15206","Hyundai",2022,11278,0,1,"Electric","Rear-wheel Drive",17,26,0,0,1,1,0,1,39788
"15261","Land",2014,73773,2,1,"Petrol","Four-wheel Drive",14,19,1,0,1,1,0,1,14270
"15317","Kia",2020,93864,3.3,1,"Petrol","Front-wheel Drive",19,26,0,1,0,1,1,0,22700
"15370","Ford",2018,58787,3.5,1,"Petrol","Rear-wheel Drive",17,24,0,1,1,1,1,0,35995
"15426","Volkswagen",2011,116867,2.5,1,"Petrol","Front-wheel Drive",24,34,1,0,0,0,0,0,7399
"15486","Jaguar",2018,36546,3,1,"Petrol","Four-wheel Drive",17,27,0,0,1,1,0,1,49987
"15543","Jeep",2019,31725,3.6,1,"Petrol","Four-wheel Drive",15,20,1,1,1,1,0,1,44490
"15595","Mercedes-Benz",2016,40807,2,1,"Petrol","Front-wheel Drive",19,28,1,0,1,1,0,1,19999
"15650","Ford",2020,18347,2.7,1,"Petrol","Four-wheel Drive",18,23,0,0,0,1,0,0,39393
"15710","Nissan",2019,42049,5.6,1,"Petrol","Four-wheel Drive",16,22,0,0,1,1,1,1,33999
"15763","FIAT",2017,29865,1.4,1,"Petrol","Rear-wheel Drive",26,35,1,1,0,1,0,0,18695
"15827","Toyota",2019,47568,2.5,1,"Hybrid","Front-wheel Drive",43,43,0,1,1,1,0,1,32500
"15886","Jeep",2023,2811,3.6,1,"Petrol","Four-wheel Drive",16,23,0,1,1,1,0,0,43500
"15944","Alfa",2018,102390,2.9,1,"Petrol","Rear-wheel Drive",23,31,0,1,1,1,0,0,40988
"15997","Audi",2018,58374,3,1,"Petrol","Four-wheel Drive",21,30,0,0,0,1,0,0,35488
"16058","Toyota",2023,1004,2.5,1,"Hybrid","Four-wheel Drive",NA,NA,0,1,1,1,0,1,39997
"16112","Mitsubishi",2019,63908,1.2,1,"Petrol","Front-wheel Drive",24,30,0,1,0,1,0,1,11722
"16173","Hyundai",2018,43280,1.6,1,"Petrol","Front-wheel Drive",27,37,0,0,0,1,0,1,22974
"16231","BMW",2018,57602,2,1,"Petrol","Four-wheel Drive",22,29,0,NA,1,1,0,0,27997
"16298","Mitsubishi",2020,51107,2,1,"Petrol","Four-wheel Drive",24,31,1,1,0,1,0,1,19433
"16357","Lexus",2020,13913,3.5,1,"Petrol","Rear-wheel Drive",18,25,0,0,1,1,0,1,45938
"16412","Toyota",2019,68835,2.5,1,"Petrol","Front-wheel Drive",26,35,0,1,0,1,0,0,25499
"16471","Kia",2011,122390,2,1,"Petrol","Front-wheel Drive",NA,NA,1,0,0,1,0,0,6795
"16533","Audi",2020,16945,2,1,"Petrol","Four-wheel Drive",0,0,0,1,1,1,0,1,43899
"16588","Mitsubishi",2008,174257,2,1,"Petrol","Front-wheel Drive",24,30,0,0,0,0,0,0,3450
"16647","Mercedes-Benz",2018,49300,3,1,"Petrol","Rear-wheel Drive",17,27,0,0,1,1,0,0,50604
"16705","BMW",2019,42176,3,1,"Petrol","Four-wheel Drive",20,29,0,1,1,1,0,1,38975
"16771","Ford",2019,57649,6.2,1,"GPL","Four-wheel Drive",NA,NA,0,0,0,1,0,0,44599
"16828","Ford",2018,53195,3.5,1,"GPL","Front-wheel Drive",18,27,0,0,1,1,0,0,17711
"16881","Chevrolet",2012,138627,4.3,1,"Petrol","Rear-wheel Drive",NA,NA,1,0,0,0,0,0,10981
"16940","Jeep",2020,53798,3.6,1,"Petrol","Rear-wheel Drive",18,25,0,1,1,1,0,1,26136
"16999","Mitsubishi",2011,142157,3.8,1,"Petrol","Four-wheel Drive",NA,NA,0,0,0,1,0,0,7500
"17056","FIAT",2021,11624,1.3,1,"Petrol","Four-wheel Drive",24,30,0,1,1,1,0,0,25248
"17120","Audi",2020,37462,2,1,"Petrol","Four-wheel Drive",22,28,0,1,1,1,0,0,37900
"17178","Lexus",2019,33557,2,1,"Petrol","Front-wheel Drive",NA,NA,0,0,0,1,0,1,29995
"17231","Volkswagen",2021,43571,2,1,"Petrol","Front-wheel Drive",19,24,0,1,0,1,0,1,31495
"17288","Volvo",2022,27628,2,1,"Petrol","Front-wheel Drive",NA,NA,0,1,1,1,0,1,42993
"17346","Mitsubishi",2019,65744,2.4,1,"Petrol","Four-wheel Drive",NA,NA,1,0,0,1,1,1,18900
"17406","Volvo",2022,10120,2,1,"Petrol","Front-wheel Drive",21,30,0,1,1,1,0,0,41000
"17460","BMW",2019,42336,2,1,"Petrol","Rear-wheel Drive",23,30,0,0,0,1,0,0,29990
"17513","Toyota",2019,75848,3.5,1,"Petrol","Front-wheel Drive",22,22,0,0,1,1,0,1,28535
"17568","BMW",2023,2336,NA,1,"Electric","Rear-wheel Drive",NA,NA,0,1,1,0,0,1,51000
"17630","Ford",2019,89182,3.5,1,"Petrol","Four-wheel Drive",17,21,0,0,1,1,0,1,39295
"17689","Audi",2014,132062,4,1,"Petrol","Four-wheel Drive",17,27,0,0,1,1,0,0,16997
"17749","Kia",2020,30842,2.4,1,"Petrol","Front-wheel Drive",NA,NA,0,0,0,1,0,1,23950
"17802","Maserati",2015,28971,4.7,1,"Petrol","Rear-wheel Drive",16,24,0,0,1,1,0,1,53750
"17862","Honda",2019,23332,1.5,1,"Petrol","Four-wheel Drive",27,33,0,1,0,1,0,1,28204
"17916","Kia",2020,16364,1.6,1,"Petrol","Front-wheel Drive",39,46,1,1,0,1,0,1,24700
"17977","Nissan",2021,46079,2.5,1,"Petrol","Front-wheel Drive",13,18,0,1,0,1,0,0,22990
"18033","Lexus",2020,25691,3.5,1,"Petrol","Front-wheel Drive",18,25,0,0,0,1,0,0,44990
"18089","Honda",2016,69300,2,1,"Petrol","Front-wheel Drive",30,41,0,1,0,1,0,0,17961
"18152","Jeep",2020,23193,3.6,1,"Petrol","Four-wheel Drive",17,23,0,1,1,1,0,0,33995
"18211","MINI",2021,10610,2,1,"Petrol","Four-wheel Drive",25,31,0,1,0,1,0,1,30659
"18268","Kia",2020,62361,3.3,1,"Petrol","Four-wheel Drive",NA,NA,0,1,0,1,1,0,22552
"18324","Cadillac",2008,62715,4.6,1,"Petrol","Rear-wheel Drive",21,26,0,0,1,0,0,1,23000
"18378","Jaguar",2016,35055,3,1,"Petrol","Four-wheel Drive",24,34,0,0,1,1,0,1,28494
"18434","Volvo",2019,27791,2,1,"Petrol","Front-wheel Drive",25,37,0,0,0,1,0,0,26545
"18493","Chevrolet",2019,42855,5.3,1,"Petrol","Four-wheel Drive",15,21,0,0,0,1,0,0,36500
"18549","Kia",2022,27504,1.6,1,"Petrol","Unknown",22,34,0,1,1,1,0,0,29998
"18614","Kia",2021,57866,1.6,1,"Petrol","Unknown",NA,NA,0,0,0,1,0,0,25998
"18672","Land",2015,90793,2,1,"Petrol","Four-wheel Drive",16,21,0,0,0,1,0,0,17999
"18727","Nissan",2015,84756,5.6,1,"Petrol","Rear-wheel Drive",25,32,0,1,0,1,1,0,18977
"18783","Kia",2022,23710,3.3,1,"Petrol","Rear-wheel Drive",21,28,0,1,1,1,0,0,43291
"18838","Hyundai",2020,23490,3.8,1,"Petrol","Four-wheel Drive",18,25,0,1,1,1,1,1,42988
"18894","Mitsubishi",2002,126019,2,0,"Petrol","Front-wheel Drive",24,31,1,1,0,0,0,0,5495
"18951","Audi",2014,71462,3,1,"Petrol","Four-wheel Drive",18,28,1,0,1,1,0,1,26835
"19020","Volkswagen",2016,63878,1.4,0,"Petrol","Front-wheel Drive",22,31,1,0,1,1,0,1,16444
"19078","Toyota",2021,19814,5.7,1,"Petrol","Four-wheel Drive",13,17,0,1,0,1,0,0,48000
"19131","Toyota",2019,43434,5.7,1,"Petrol","Four-wheel Drive",13,17,0,1,1,1,1,1,48990
"19187","Mitsubishi",2021,50844,2,1,"Petrol","Four-wheel Drive",23,29,0,1,0,1,0,0,23490
"19245","Cadillac",2021,18778,2,1,"Petrol","Rear-wheel Drive",17,26,1,1,1,1,0,0,37910
"19306","Mitsubishi",2014,49900,2,0,"Petrol","Four-wheel Drive",23,29,0,0,0,1,0,0,35000
"19364","Honda",2021,21847,3.5,1,"Petrol","Four-wheel Drive",19,26,0,1,1,1,1,1,42587
"19424","BMW",2012,68044,3,1,"Petrol","Rear-wheel Drive",19,26,1,0,0,1,0,0,22985
"19485","FIAT",2013,98501,1.4,0,"Petrol","Front-wheel Drive",31,40,0,1,0,1,0,0,10000
"19545","Ford",2014,41271,5,0,"Petrol","Rear-wheel Drive",15,26,0,0,0,0,0,0,27989
"19603","Cadillac",2020,37937,2,1,"Petrol","Four-wheel Drive",18,25,0,0,1,1,0,1,32575
"19666","Jaguar",2020,27154,NA,1,"Petrol","Rear-wheel Drive",18,23,1,0,0,1,0,0,33889
"19724","Honda",2016,94773,2.4,0,"Petrol","Four-wheel Drive",25,31,0,0,0,1,0,0,16990
"19781","Alfa",2019,28456,2,1,"Petrol","Four-wheel Drive",22,28,0,1,0,1,0,0,28819
"19845","Volkswagen",2019,14653,2,1,"Petrol","Four-wheel Drive",25,33,1,1,1,1,0,1,32200
"19898","Kia",2018,79828,2.4,1,"Petrol","Four-wheel Drive",27,37,1,1,0,1,0,0,16998
"19958","Mercedes-Benz",2018,55277,4.7,1,"Petrol","Four-wheel Drive",26,38,0,0,1,1,1,1,48750
"20014","Jaguar",2019,25627,2,1,"Petrol","Four-wheel Drive",72,80,0,1,1,1,0,1,37392
"20070","Maserati",2018,40556,3,1,"Petrol","Four-wheel Drive",16,24,0,0,1,1,0,1,34990
"20133","Kia",2022,23075,3.3,1,"Petrol","Four-wheel Drive",22,31,0,1,1,1,0,1,48995
"20194","Alfa",2021,17937,2,1,"Petrol","Four-wheel Drive",23,31,0,1,0,1,0,0,35999
"20252","Audi",2019,20204,2,1,"Petrol","Four-wheel Drive",19,25,0,1,1,1,1,1,41999
"20310","Mitsubishi",2015,110310,2.4,1,"Petrol","Four-wheel Drive",23,29,1,0,0,1,0,0,8999
"20369","Volkswagen",2021,29006,3.6,1,"Petrol","Four-wheel Drive",28,38,0,1,1,1,1,1,42497
"20420","MINI",2020,8627,2,1,"Petrol","Four-wheel Drive",26,32,0,0,0,1,0,1,29294
"20479","Jeep",1994,147586,4,1,"Petrol","Four-wheel Drive",16,21,0,0,0,0,0,0,9888
"20545","Lexus",2021,25956,2,1,"Petrol","Rear-wheel Drive",NA,NA,0,1,0,1,0,0,34495
"20599","Kia",2019,41191,3.3,1,"Petrol","Rear-wheel Drive",23,34,0,0,1,1,0,1,37250
"20653","Jaguar",2018,59988,3,1,"Petrol","Rear-wheel Drive",22,27,0,0,1,1,0,0,49988
"20709","Alfa",2020,29525,2,1,"Petrol","Four-wheel Drive",22,28,0,1,0,1,0,0,33498
"20765","MINI",2017,48045,2,0,"Petrol","Front-wheel Drive",26,32,0,1,0,1,0,0,27485
"20821","Ford",2016,58207,2,0,"Petrol","Front-wheel Drive",22,31,0,0,0,1,0,0,18199
"20881","Honda",2022,38387,3.5,1,"Petrol","Four-wheel Drive",19,26,1,1,1,1,1,1,44871
"20940","Nissan",2012,100818,3.5,0,"Petrol","Unknown",NA,NA,1,0,0,1,0,0,8995
"20996","BMW",2008,77000,3,0,"Petrol","Rear-wheel Drive",17,25,1,1,0,1,0,1,15900
"21051","Cadillac",2019,41398,2,1,"Petrol","Four-wheel Drive",14,19,0,0,1,1,0,1,35000
"21104","Nissan",2019,63563,1.8,1,"Petrol","Front-wheel Drive",18,23,0,1,0,1,0,0,17904
"21163","Lexus",2016,72766,3.5,1,"Petrol","Four-wheel Drive",19,26,1,0,0,1,0,0,29072
"21223","Mazda",1990,95330,1.3,0,"Petrol","Rear-wheel Drive",23,29,0,0,0,0,0,0,12900
"21280","Ford",2006,181868,6,1,"Diesel","Four-wheel Drive",NA,NA,1,0,0,0,0,0,24750
"21336","Mitsubishi",2021,14882,2,1,"Petrol","Four-wheel Drive",23,29,0,1,0,1,0,1,23991
"21397","Kia",2023,1165,3.8,1,"Petrol","Four-wheel Drive",NA,NA,0,1,1,0,1,1,45524
"21457","MINI",2013,82652,1.6,1,"Petrol","Front-wheel Drive",23,32,1,0,0,1,0,0,10981
"21515","BMW",2020,28812,2,1,"Petrol","Front-wheel Drive",24,33,0,1,1,1,0,0,30589
"21570","Ford",2013,89321,3.5,1,"Petrol","Four-wheel Drive",NA,NA,0,0,0,1,0,0,19058
"21631","Jeep",2016,113567,3.6,1,"Petrol","Four-wheel Drive",16,21,1,0,0,1,0,0,29985
"21688","Land",2014,45411,5,1,"GPL","Four-wheel Drive",21,27,0,0,1,1,0,0,40900
"21747","Kia",2016,228665,3.3,1,"Petrol","Four-wheel Drive",24,35,1,0,0,1,1,0,3995
"21803","Jaguar",2017,37523,2,1,"Diesel","Four-wheel Drive",72,80,1,0,1,1,0,0,30998
"21868","Chevrolet",2022,5473,5.3,1,"Petrol","Four-wheel Drive",NA,NA,0,1,0,1,0,0,48997
"21924","Audi",2018,45078,3,1,"Petrol","Four-wheel Drive",21,30,0,0,0,1,0,1,36888
"21985","Cadillac",2017,94572,3.6,1,"Petrol","Four-wheel Drive",14,19,1,0,1,1,0,1,15993
"22047","Volkswagen",2017,67342,1.8,1,"Petrol","Four-wheel Drive",17,23,0,1,0,1,0,1,20992
"22103","Land",2014,87482,2,1,"Petrol","Four-wheel Drive",21,29,0,0,0,1,0,0,17999
"22158","Maserati",2017,64943,3,1,"Petrol","Four-wheel Drive",14,20,1,1,1,1,0,1,32995
"22218","BMW",2017,63655,3,1,"Petrol","Four-wheel Drive",18,24,0,0,1,1,0,1,26491
"22275","Maserati",2014,57162,3,1,"Petrol","Four-wheel Drive",16,23,0,0,1,1,0,1,25900
"22330","Jaguar",2018,44790,2,1,"Diesel","Four-wheel Drive",18,26,0,0,1,1,0,1,30500
"22392","Mercedes-Benz",2017,43354,3,1,"Petrol","Four-wheel Drive",24,31,0,0,1,1,0,0,53998
"22448","BMW",2010,63631,4.4,1,"Petrol","Four-wheel Drive",15,21,0,0,1,1,0,1,14965
"22506","Mitsubishi",2021,47080,2,1,"Petrol","Four-wheel Drive",17,23,0,1,0,1,0,0,19800
"22566","Volvo",2020,42252,2,1,"Petrol","Four-wheel Drive",20,27,0,1,0,1,1,1,40832
"22628","Mercedes-Benz",2019,27213,2,1,"Petrol","Four-wheel Drive",NA,NA,0,1,1,1,0,1,32450
"22694","Land",2017,89516,2,1,"Petrol","Four-wheel Drive",21,27,1,0,1,1,0,0,19672
"22751","Kia",2022,28041,1.6,1,"Petrol","Front-wheel Drive",19,24,0,1,1,1,0,0,26824
"22812","Mazda",2017,52629,2,1,"Petrol","Front-wheel Drive",22,28,0,0,0,1,0,0,18475
"22865","Honda",2020,11831,3.5,1,"Petrol","Four-wheel Drive",18,26,NA,NA,0,1,1,0,38998
"22931","Volkswagen",2017,67823,2,1,"Petrol","Four-wheel Drive",22,27,1,0,0,1,0,0,15693
"22988","Toyota",2019,91947,2.5,1,"Petrol","Front-wheel Drive",28,39,0,1,0,1,0,1,22750
"23050","BMW",2020,31237,2,1,"Petrol","Rear-wheel Drive",23,34,1,1,1,1,0,0,30990
"23111","Audi",2018,40198,2,1,"Petrol","Four-wheel Drive",22,28,0,0,0,1,0,1,33895
"23178","MINI",2010,75500,1.6,1,"Petrol","Front-wheel Drive",23,32,0,0,0,0,0,0,9900
"23241","Hyundai",2022,16500,1.6,1,"Petrol","Front-wheel Drive",30,33,0,1,1,1,0,1,25300
"23300","Toyota",2023,225,2,1,"Petrol","Rear-wheel Drive",NA,NA,0,1,0,0,0,0,50475
"23360","Mitsubishi",2021,12007,2.4,1,"Hybrid","Four-wheel Drive",NA,NA,0,1,0,1,0,0,34888
"23420","Kia",2022,7541,3.8,1,"Petrol","Front-wheel Drive",24,29,0,1,1,1,1,0,40998
"23474","FIAT",2015,66000,1.4,1,"Petrol","Front-wheel Drive",32,32,0,0,0,1,0,1,14595
"23534","Ford",2019,67514,6.7,1,"Diesel","Four-wheel Drive",NA,NA,0,0,0,1,0,0,47775
"23591","MINI",2019,38589,2,1,"Petrol","Front-wheel Drive",22,31,0,0,0,1,0,0,21523
"23657","Ford",2020,25881,2.7,1,"Petrol","Four-wheel Drive",18,23,1,0,0,1,0,0,38993
"23712","MINI",2014,78898,1.6,1,"Petrol","Front-wheel Drive",23,32,0,0,0,1,0,0,12242
"23771","MINI",2010,55380,1.6,1,"Petrol","Front-wheel Drive",28,37,0,0,0,0,0,0,12995
"23829","Ford",2021,17288,2.5,1,"Hybrid","Front-wheel Drive",NA,NA,0,0,1,1,0,1,36795
"23885","Hyundai",2021,25490,3.8,1,"Petrol","Four-wheel Drive",NA,NA,0,1,1,1,1,1,43999
